Year,Month,Day,Hour,Minute,DHI,DNI,GHI,,Power
2022,7,10,0,0,0,0,0,,0.00
2022,7,10,0,5,0,0,0,,0.00
2022,7,10,0,10,0,0,0,,0.00
2022,7,10,0,15,0,0,0,,0.00
2022,7,10,0,20,0,0,0,,0.00
2022,7,10,0,25,0,0,0,,0.00
2022,7,10,0,30,0,0,0,,0.00
2022,7,10,0,35,0,0,0,,0.00
2022,7,10,0,40,0,0,0,,0.00
2022,7,10,0,45,0,0,0,,0.00
2022,7,10,0,50,0,0,0,,0.00
2022,7,10,0,55,0,0,0,,0.00
2022,7,10,1,60,0,0,0,,0.00
2022,7,10,1,65,0,0,0,,0.00
2022,7,10,1,70,0,0,0,,0.00
2022,7,10,1,75,0,0,0,,0.00
2022,7,10,1,80,0,0,0,,0.00
2022,7,10,1,85,0,0,0,,0.00
2022,7,10,1,90,0,0,0,,0.00
2022,7,10,1,95,0,0,0,,0.00
2022,7,10,1,100,0,0,0,,0.00
2022,7,10,1,105,0,0,0,,0.00
2022,7,10,1,110,0,0,0,,0.00
2022,7,10,1,115,0,0,0,,0.00
2022,7,10,2,120,0,0,0,,0.00
2022,7,10,2,125,0,0,0,,0.00
2022,7,10,2,130,0,0,0,,0.00
2022,7,10,2,135,0,0,0,,0.00
2022,7,10,2,140,0,0,0,,0.00
2022,7,10,2,145,0,0,0,,0.00
2022,7,10,2,150,0,0,0,,0.00
2022,7,10,2,155,0,0,0,,0.00
2022,7,10,2,160,0,0,0,,0.00
2022,7,10,2,165,0,0,0,,0.00
2022,7,10,2,170,0,0,0,,0.00
2022,7,10,2,175,0,0,0,,0.00
2022,7,10,3,180,0,0,0,,0.00
2022,7,10,3,185,0,0,0,,0.00
2022,7,10,3,190,0,0,0,,0.00
2022,7,10,3,195,0,0,0,,0.00
2022,7,10,3,200,0,0,0,,0.00
2022,7,10,3,205,0,0,0,,0.00
2022,7,10,3,210,0,0,0,,0.00
2022,7,10,3,215,0,0,0,,0.00
2022,7,10,3,220,0,0,0,,0.00
2022,7,10,3,225,0,0,0,,0.00
2022,7,10,3,230,0,0,0,,0.00
2022,7,10,3,235,0,0,0,,0.00
2022,7,10,4,240,0,0,0,,0.00
2022,7,10,4,245,0,0,0,,0.00
2022,7,10,4,250,0,0,0,,0.00
2022,7,10,4,255,0,0,0,,0.00
2022,7,10,4,260,0,0,0,,0.00
2022,7,10,4,265,0,0,0,,0.00
2022,7,10,4,270,0,0,0,,0.00
2022,7,10,4,275,0,0,0,,0.00
2022,7,10,4,280,0,0,0,,0.00
2022,7,10,4,285,0,0,0,,0.00
2022,7,10,4,290,0,0,0,,0.00
2022,7,10,4,295,0,0,0,,0.00
2022,7,10,5,300,0,0,0,,0.00
2022,7,10,5,305,0,0,0,,0.00
2022,7,10,5,310,0,0,0,,0.00
2022,7,10,5,315,0,0,0,,0.00
2022,7,10,5,320,11,140,15,,1.85
2022,7,10,5,325,14,183,22,,2.42
2022,7,10,5,330,18,226,30,,2.98
2022,7,10,5,335,21,266,39,,3.51
2022,7,10,5,340,25,304,49,,4.01
2022,7,10,5,345,28,340,60,,4.49
2022,7,10,5,350,31,374,71,,4.94
2022,7,10,5,355,34,405,83,,5.35
2022,7,10,6,360,37,435,96,,5.74
2022,7,10,6,365,39,462,109,,6.10
2022,7,10,6,370,42,488,123,,6.44
2022,7,10,6,375,44,512,137,,6.76
2022,7,10,6,380,47,534,151,,7.05
2022,7,10,6,385,49,555,166,,7.33
2022,7,10,6,390,51,575,181,,7.59
2022,7,10,6,395,53,594,196,,7.84
2022,7,10,6,400,55,611,211,,8.07
2022,7,10,6,405,57,628,226,,8.29
2022,7,10,6,410,59,644,242,,8.50
2022,7,10,6,415,60,658,257,,8.69
2022,7,10,7,420,62,672,273,,8.87
2022,7,10,7,425,63,686,289,,9.06
2022,7,10,7,430,65,698,305,,9.22
2022,7,10,7,435,66,710,321,,9.38
2022,7,10,7,440,68,721,337,,9.52
2022,7,10,7,445,69,732,354,,9.67
2022,7,10,7,450,71,742,370,,9.80
2022,7,10,7,455,72,752,386,,9.93
2022,7,10,7,460,73,762,402,,10.06
2022,7,10,7,465,74,770,418,,10.17
2022,7,10,7,470,76,779,434,,10.29
2022,7,10,7,475,77,787,450,,10.39
2022,7,10,8,480,78,795,466,,10.50
2022,7,10,8,485,79,802,482,,10.59
2022,7,10,8,490,80,809,498,,10.68
2022,7,10,8,495,81,816,513,,10.78
2022,7,10,8,500,82,822,529,,10.86
2022,7,10,8,505,83,828,544,,10.93
2022,7,10,8,510,84,834,560,,11.01
2022,7,10,8,515,85,839,575,,11.08
2022,7,10,8,520,86,845,590,,11.16
2022,7,10,8,525,87,850,605,,11.23
2022,7,10,8,530,88,855,620,,11.29
2022,7,10,8,535,88,860,634,,11.36
2022,7,10,9,540,89,865,649,,11.42
2022,7,10,9,545,90,869,663,,11.48
2022,7,10,9,550,91,873,677,,11.53
2022,7,10,9,555,91,877,690,,11.58
2022,7,10,9,560,92,881,704,,11.63
2022,7,10,9,565,93,885,717,,11.69
