Year,Month,Day,Hour,Minute,DHI,DNI,GHI,,Power
2022,10,3,0,0,0,0,0,,0.00
2022,10,3,0,5,0,0,0,,0.00
2022,10,3,0,10,0,0,0,,0.00
2022,10,3,0,15,0,0,0,,0.00
2022,10,3,0,20,0,0,0,,0.00
2022,10,3,0,25,0,0,0,,0.00
2022,10,3,0,30,0,0,0,,0.00
2022,10,3,0,35,0,0,0,,0.00
2022,10,3,0,40,0,0,0,,0.00
2022,10,3,0,45,0,0,0,,0.00
2022,10,3,0,50,0,0,0,,0.00
2022,10,3,0,55,0,0,0,,0.00
2022,10,3,1,60,0,0,0,,0.00
2022,10,3,1,65,0,0,0,,0.00
2022,10,3,1,70,0,0,0,,0.00
2022,10,3,1,75,0,0,0,,0.00
2022,10,3,1,80,0,0,0,,0.00
2022,10,3,1,85,0,0,0,,0.00
2022,10,3,1,90,0,0,0,,0.00
2022,10,3,1,95,0,0,0,,0.00
2022,10,3,1,100,0,0,0,,0.00
2022,10,3,1,105,0,0,0,,0.00
2022,10,3,1,110,0,0,0,,0.00
2022,10,3,1,115,0,0,0,,0.00
2022,10,3,2,120,0,0,0,,0.00
2022,10,3,2,125,0,0,0,,0.00
2022,10,3,2,130,0,0,0,,0.00
2022,10,3,2,135,0,0,0,,0.00
2022,10,3,2,140,0,0,0,,0.00
2022,10,3,2,145,0,0,0,,0.00
2022,10,3,2,150,0,0,0,,0.00
2022,10,3,2,155,0,0,0,,0.00
2022,10,3,2,160,0,0,0,,0.00
2022,10,3,2,165,0,0,0,,0.00
2022,10,3,2,170,0,0,0,,0.00
2022,10,3,2,175,0,0,0,,0.00
2022,10,3,3,180,0,0,0,,0.00
2022,10,3,3,185,0,0,0,,0.00
2022,10,3,3,190,0,0,0,,0.00
2022,10,3,3,195,0,0,0,,0.00
2022,10,3,3,200,0,0,0,,0.00
2022,10,3,3,205,0,0,0,,0.00
2022,10,3,3,210,0,0,0,,0.00
2022,10,3,3,215,0,0,0,,0.00
2022,10,3,3,220,0,0,0,,0.00
2022,10,3,3,225,0,0,0,,0.00
2022,10,3,3,230,0,0,0,,0.00
2022,10,3,3,235,0,0,0,,0.00
2022,10,3,4,240,0,0,0,,0.00
2022,10,3,4,245,0,0,0,,0.00
2022,10,3,4,250,0,0,0,,0.00
2022,10,3,4,255,0,0,0,,0.00
2022,10,3,4,260,0,0,0,,0.00
2022,10,3,4,265,0,0,0,,0.00
2022,10,3,4,270,0,0,0,,0.00
2022,10,3,4,275,0,0,0,,0.00
2022,10,3,4,280,0,0,0,,0.00
2022,10,3,4,285,0,0,0,,0.00
2022,10,3,4,290,0,0,0,,0.00
2022,10,3,4,295,0,0,0,,0.00
2022,10,3,5,300,0,0,0,,0.00
2022,10,3,5,305,0,0,0,,0.00
2022,10,3,5,310,0,0,0,,0.00
2022,10,3,5,315,0,0,0,,0.00
2022,10,3,5,320,0,0,0,,0.00
2022,10,3,5,325,0,0,0,,0.00
2022,10,3,5,330,0,0,0,,0.00
2022,10,3,5,335,0,0,0,,0.00
2022,10,3,5,340,0,0,0,,0.00
2022,10,3,5,345,0,0,0,,0.00
