Year,Month,Day,Hour,Minute,DHI,DNI,GHI,,Power
2022,11,19,0,0,0,0,0,,0.00
2022,11,19,0,5,0,0,0,,0.00
2022,11,19,0,10,0,0,0,,0.00
2022,11,19,0,15,0,0,0,,0.00
2022,11,19,0,20,0,0,0,,0.00
2022,11,19,0,25,0,0,0,,0.00
2022,11,19,0,30,0,0,0,,0.00
2022,11,19,0,35,0,0,0,,0.00
2022,11,19,0,40,0,0,0,,0.00
2022,11,19,0,45,0,0,0,,0.00
2022,11,19,0,50,0,0,0,,0.00
2022,11,19,0,55,0,0,0,,0.00
2022,11,19,1,60,0,0,0,,0.00
2022,11,19,1,65,0,0,0,,0.00
2022,11,19,1,70,0,0,0,,0.00
2022,11,19,1,75,0,0,0,,0.00
2022,11,19,1,80,0,0,0,,0.00
2022,11,19,1,85,0,0,0,,0.00
2022,11,19,1,90,0,0,0,,0.00
2022,11,19,1,95,0,0,0,,0.00
2022,11,19,1,100,0,0,0,,0.00
2022,11,19,1,105,0,0,0,,0.00
2022,11,19,1,110,0,0,0,,0.00
2022,11,19,1,115,0,0,0,,0.00
2022,11,19,2,120,0,0,0,,0.00
2022,11,19,2,125,0,0,0,,0.00
2022,11,19,2,130,0,0,0,,0.00
2022,11,19,2,135,0,0,0,,0.00
2022,11,19,2,140,0,0,0,,0.00
2022,11,19,2,145,0,0,0,,0.00
2022,11,19,2,150,0,0,0,,0.00
2022,11,19,2,155,0,0,0,,0.00
2022,11,19,2,160,0,0,0,,0.00
2022,11,19,2,165,0,0,0,,0.00
2022,11,19,2,170,0,0,0,,0.00
2022,11,19,2,175,0,0,0,,0.00
2022,11,19,3,180,0,0,0,,0.00
2022,11,19,3,185,0,0,0,,0.00
2022,11,19,3,190,0,0,0,,0.00
2022,11,19,3,195,0,0,0,,0.00
2022,11,19,3,200,0,0,0,,0.00
2022,11,19,3,205,0,0,0,,0.00
2022,11,19,3,210,0,0,0,,0.00
2022,11,19,3,215,0,0,0,,0.00
2022,11,19,3,220,0,0,0,,0.00
2022,11,19,3,225,0,0,0,,0.00
2022,11,19,3,230,0,0,0,,0.00
2022,11,19,3,235,0,0,0,,0.00
2022,11,19,4,240,0,0,0,,0.00
2022,11,19,4,245,0,0,0,,0.00
2022,11,19,4,250,0,0,0,,0.00
2022,11,19,4,255,0,0,0,,0.00
2022,11,19,4,260,0,0,0,,0.00
2022,11,19,4,265,0,0,0,,0.00
2022,11,19,4,270,0,0,0,,0.00
2022,11,19,4,275,0,0,0,,0.00
2022,11,19,4,280,0,0,0,,0.00
2022,11,19,4,285,0,0,0,,0.00
2022,11,19,4,290,0,0,0,,0.00
2022,11,19,4,295,0,0,0,,0.00
2022,11,19,5,300,0,0,0,,0.00
2022,11,19,5,305,0,0,0,,0.00
2022,11,19,5,310,0,0,0,,0.00
2022,11,19,5,315,0,0,0,,0.00
2022,11,19,5,320,0,0,0,,0.00
2022,11,19,5,325,0,0,0,,0.00
2022,11,19,5,330,0,0,0,,0.00
2022,11,19,5,335,0,0,0,,0.00
2022,11,19,5,340,0,0,0,,0.00
2022,11,19,5,345,0,0,0,,0.00
2022,11,19,5,350,0,0,0,,0.00
2022,11,19,5,355,0,0,0,,0.00
2022,11,19,6,360,0,0,0,,0.00
2022,11,19,6,365,0,0,0,,0.00
2022,11,19,6,370,0,0,0,,0.00
2022,11,19,6,375,0,0,0,,0.00
2022,11,19,6,380,0,0,0,,0.00
2022,11,19,6,385,0,0,0,,0.00
2022,11,19,6,390,0,0,0,,0.00
2022,11,19,6,395,0,0,0,,0.00
2022,11,19,6,400,0,0,0,,0.00
2022,11,19,6,405,0,0,0,,0.00
2022,11,19,6,410,0,0,0,,0.00
2022,11,19,6,415,0,0,0,,0.00
2022,11,19,7,420,0,0,0,,0.00
2022,11,19,7,425,0,0,0,,0.00
2022,11,19,7,430,0,0,0,,0.00
2022,11,19,7,435,0,0,0,,0.00
2022,11,19,7,440,0,0,0,,0.00
2022,11,19,7,445,0,0,0,,0.00
2022,11,19,7,450,0,0,0,,0.00
2022,11,19,7,455,0,0,0,,0.00
2022,11,19,7,460,5,0,5,,0.00
2022,11,19,7,465,8,0,8,,0.00
2022,11,19,7,470,12,0,12,,0.00
2022,11,19,7,475,19,0,19,,0.00
2022,11,19,8,480,17,0,17,,0.00
2022,11,19,8,485,18,0,18,,0.00
2022,11,19,8,490,20,0,20,,0.00
2022,11,19,8,495,24,0,24,,0.00
2022,11,19,8,500,28,0,28,,0.00
2022,11,19,8,505,20,0,20,,0.00
2022,11,19,8,510,37,0,37,,0.00
2022,11,19,8,515,37,0,37,,0.00
2022,11,19,8,520,39,0,39,,0.00
2022,11,19,8,525,58,0,58,,0.00
2022,11,19,8,530,73,0,73,,0.00
2022,11,19,8,535,92,1,92,,0.01
2022,11,19,9,540,54,0,54,,0.00
2022,11,19,9,545,54,0,54,,0.00
2022,11,19,9,550,113,9,115,,0.12
2022,11,19,9,555,125,12,128,,0.16
2022,11,19,9,560,58,782,268,,10.33
2022,11,19,9,565,59,793,281,,10.47
2022,11,19,9,570,60,803,293,,10.60
2022,11,19,9,575,61,814,305,,10.75
2022,11,19,9,580,63,823,317,,10.87
2022,11,19,9,585,172,309,271,,4.08
2022,11,19,9,590,199,108,234,,1.43
2022,11,19,9,595,134,7,137,,0.09
2022,11,19,10,600,193,33,205,,0.44
2022,11,19,10,605,198,34,210,,0.45
2022,11,19,10,610,214,47,232,,0.62
2022,11,19,10,615,233,68,258,,0.90
2022,11,19,10,620,241,84,273,,1.11
2022,11,19,10,625,248,100,286,,1.32
2022,11,19,10,630,240,240,335,,3.17
2022,11,19,10,635,72,893,430,,11.79
2022,11,19,10,640,298,42,315,,0.55
2022,11,19,10,645,296,30,308,,0.40
2022,11,19,10,650,319,64,346,,0.85
2022,11,19,10,655,321,55,344,,0.73
2022,11,19,11,660,325,59,351,,0.78
2022,11,19,11,665,76,914,474,,12.07
2022,11,19,11,670,77,917,480,,12.11
2022,11,19,11,675,77,919,486,,12.14
2022,11,19,11,680,229,394,406,,5.20
2022,11,19,11,685,257,314,399,,4.15
2022,11,19,11,690,78,926,500,,12.23
2022,11,19,11,695,259,349,419,,4.61
2022,11,19,11,700,233,430,432,,5.68
2022,11,19,11,705,262,347,423,,4.58
2022,11,19,11,710,263,351,427,,4.64
2022,11,19,11,715,239,417,434,,5.51
2022,11,19,12,720,224,452,436,,5.97
2022,11,19,12,725,79,935,519,,12.35
2022,11,19,12,730,79,936,520,,12.36
2022,11,19,12,735,79,936,520,,12.36
2022,11,19,12,740,79,936,521,,12.36
2022,11,19,12,745,79,936,520,,12.36
2022,11,19,12,750,79,936,520,,12.36
2022,11,19,12,755,72,948,519,,12.52
2022,11,19,12,760,72,947,517,,12.51
2022,11,19,12,765,72,947,515,,12.51
2022,11,19,12,770,224,446,432,,5.89
2022,11,19,12,775,72,945,510,,12.48
2022,11,19,13,780,242,393,424,,5.19
2022,11,19,13,785,257,349,416,,4.61
2022,11,19,13,790,252,361,416,,4.77
2022,11,19,13,795,290,173,368,,2.28
2022,11,19,13,800,277,230,381,,3.04
2022,11,19,13,805,273,243,381,,3.21
2022,11,19,13,810,267,257,380,,3.39
2022,11,19,13,815,242,339,389,,4.48
2022,11,19,13,820,69,925,467,,12.22
2022,11,19,13,825,69,922,460,,12.18
2022,11,19,13,830,204,418,379,,5.52
2022,11,19,13,835,257,197,338,,2.60
2022,11,19,14,840,233,35,247,,0.46
2022,11,19,14,845,251,98,290,,1.29
2022,11,19,14,850,274,30,286,,0.40
2022,11,19,14,855,250,16,256,,0.21
2022,11,19,14,860,213,41,228,,0.54
2022,11,19,14,865,185,1,186,,0.01
2022,11,19,14,870,226,12,231,,0.16
2022,11,19,14,875,218,11,222,,0.15
2022,11,19,14,880,191,4,192,,0.05
2022,11,19,14,885,179,3,180,,0.04
2022,11,19,14,890,198,9,201,,0.12
2022,11,19,14,895,168,3,169,,0.04
2022,11,19,15,900,111,0,111,,0.00
2022,11,19,15,905,143,1,143,,0.01
2022,11,19,15,910,69,0,69,,0.00
2022,11,19,15,915,175,72,195,,0.95
2022,11,19,15,920,79,2,79,,0.03
2022,11,19,15,925,88,4,89,,0.05
2022,11,19,15,930,155,55,169,,0.73
2022,11,19,15,935,135,20,140,,0.26
2022,11,19,15,940,90,5,91,,0.07
2022,11,19,15,945,104,14,107,,0.18
2022,11,19,15,950,126,61,138,,0.81
2022,11,19,15,955,65,2,65,,0.03
2022,11,19,16,960,31,0,31,,0.00
2022,11,19,16,965,68,4,68,,0.05
2022,11,19,16,970,66,5,67,,0.07
2022,11,19,16,975,68,1,68,,0.01
2022,11,19,16,980,57,1,57,,0.01
2022,11,19,16,985,43,0,43,,0.00
2022,11,19,16,990,31,0,31,,0.00
2022,11,19,16,995,34,0,34,,0.00
2022,11,19,16,1000,19,0,19,,0.00
2022,11,19,16,1005,21,0,21,,0.00
2022,11,19,16,1010,15,0,15,,0.00
2022,11,19,16,1015,10,0,10,,0.00
2022,11,19,17,1020,4,0,4,,0.00
2022,11,19,17,1025,0,0,0,,0.00
2022,11,19,17,1030,0,0,0,,0.00
2022,11,19,17,1035,0,0,0,,0.00
2022,11,19,17,1040,0,0,0,,0.00
2022,11,19,17,1045,0,0,0,,0.00
2022,11,19,17,1050,0,0,0,,0.00
2022,11,19,17,1055,0,0,0,,0.00
2022,11,19,17,1060,0,0,0,,0.00
2022,11,19,17,1065,0,0,0,,0.00
2022,11,19,17,1070,0,0,0,,0.00
2022,11,19,17,1075,0,0,0,,0.00
2022,11,19,18,1080,0,0,0,,0.00
2022,11,19,18,1085,0,0,0,,0.00
2022,11,19,18,1090,0,0,0,,0.00
2022,11,19,18,1095,0,0,0,,0.00
2022,11,19,18,1100,0,0,0,,0.00
2022,11,19,18,1105,0,0,0,,0.00
2022,11,19,18,1110,0,0,0,,0.00
2022,11,19,18,1115,0,0,0,,0.00
2022,11,19,18,1120,0,0,0,,0.00
2022,11,19,18,1125,0,0,0,,0.00
2022,11,19,18,1130,0,0,0,,0.00
2022,11,19,18,1135,0,0,0,,0.00
2022,11,19,19,1140,0,0,0,,0.00
2022,11,19,19,1145,0,0,0,,0.00
2022,11,19,19,1150,0,0,0,,0.00
2022,11,19,19,1155,0,0,0,,0.00
2022,11,19,19,1160,0,0,0,,0.00
2022,11,19,19,1165,0,0,0,,0.00
2022,11,19,19,1170,0,0,0,,0.00
2022,11,19,19,1175,0,0,0,,0.00
2022,11,19,19,1180,0,0,0,,0.00
2022,11,19,19,1185,0,0,0,,0.00
2022,11,19,19,1190,0,0,0,,0.00
2022,11,19,19,1195,0,0,0,,0.00
2022,11,19,20,1200,0,0,0,,0.00
2022,11,19,20,1205,0,0,0,,0.00
2022,11,19,20,1210,0,0,0,,0.00
2022,11,19,20,1215,0,0,0,,0.00
2022,11,19,20,1220,0,0,0,,0.00
2022,11,19,20,1225,0,0,0,,0.00
2022,11,19,20,1230,0,0,0,,0.00
2022,11,19,20,1235,0,0,0,,0.00
2022,11,19,20,1240,0,0,0,,0.00
2022,11,19,20,1245,0,0,0,,0.00
2022,11,19,20,1250,0,0,0,,0.00
2022,11,19,20,1255,0,0,0,,0.00
2022,11,19,21,1260,0,0,0,,0.00
2022,11,19,21,1265,0,0,0,,0.00
2022,11,19,21,1270,0,0,0,,0.00
2022,11,19,21,1275,0,0,0,,0.00
2022,11,19,21,1280,0,0,0,,0.00
2022,11,19,21,1285,0,0,0,,0.00
2022,11,19,21,1290,0,0,0,,0.00
2022,11,19,21,1295,0,0,0,,0.00
2022,11,19,21,1300,0,0,0,,0.00
2022,11,19,21,1305,0,0,0,,0.00
2022,11,19,21,1310,0,0,0,,0.00
2022,11,19,21,1315,0,0,0,,0.00
2022,11,19,22,1320,0,0,0,,0.00
2022,11,19,22,1325,0,0,0,,0.00
2022,11,19,22,1330,0,0,0,,0.00
2022,11,19,22,1335,0,0,0,,0.00
2022,11,19,22,1340,0,0,0,,0.00
2022,11,19,22,1345,0,0,0,,0.00
2022,11,19,22,1350,0,0,0,,0.00
2022,11,19,22,1355,0,0,0,,0.00
2022,11,19,22,1360,0,0,0,,0.00
2022,11,19,22,1365,0,0,0,,0.00
2022,11,19,22,1370,0,0,0,,0.00
2022,11,19,22,1375,0,0,0,,0.00
2022,11,19,23,1380,0,0,0,,0.00
2022,11,19,23,1385,0,0,0,,0.00
2022,11,19,23,1390,0,0,0,,0.00
2022,11,19,23,1395,0,0,0,,0.00
2022,11,19,23,1400,0,0,0,,0.00
2022,11,19,23,1405,0,0,0,,0.00
2022,11,19,23,1410,0,0,0,,0.00
2022,11,19,23,1415,0,0,0,,0.00
2022,11,19,23,1420,0,0,0,,0.00
2022,11,19,23,1425,0,0,0,,0.00
2022,11,19,23,1430,0,0,0,,0.00
2022,11,19,23,1435,0,0,0,,0.00
