Year,Month,Day,Hour,Minute,DHI,DNI,GHI,,Power
2022,9,27,0,0,0,0,0,,0.00
2022,9,27,0,5,0,0,0,,0.00
2022,9,27,0,10,0,0,0,,0.00
2022,9,27,0,15,0,0,0,,0.00
2022,9,27,0,20,0,0,0,,0.00
2022,9,27,0,25,0,0,0,,0.00
2022,9,27,0,30,0,0,0,,0.00
2022,9,27,0,35,0,0,0,,0.00
2022,9,27,0,40,0,0,0,,0.00
2022,9,27,0,45,0,0,0,,0.00
2022,9,27,0,50,0,0,0,,0.00
2022,9,27,0,55,0,0,0,,0.00
2022,9,27,1,60,0,0,0,,0.00
2022,9,27,1,65,0,0,0,,0.00
2022,9,27,1,70,0,0,0,,0.00
2022,9,27,1,75,0,0,0,,0.00
2022,9,27,1,80,0,0,0,,0.00
2022,9,27,1,85,0,0,0,,0.00
2022,9,27,1,90,0,0,0,,0.00
2022,9,27,1,95,0,0,0,,0.00
2022,9,27,1,100,0,0,0,,0.00
2022,9,27,1,105,0,0,0,,0.00
2022,9,27,1,110,0,0,0,,0.00
2022,9,27,1,115,0,0,0,,0.00
2022,9,27,2,120,0,0,0,,0.00
2022,9,27,2,125,0,0,0,,0.00
2022,9,27,2,130,0,0,0,,0.00
2022,9,27,2,135,0,0,0,,0.00
2022,9,27,2,140,0,0,0,,0.00
2022,9,27,2,145,0,0,0,,0.00
2022,9,27,2,150,0,0,0,,0.00
2022,9,27,2,155,0,0,0,,0.00
2022,9,27,2,160,0,0,0,,0.00
2022,9,27,2,165,0,0,0,,0.00
2022,9,27,2,170,0,0,0,,0.00
2022,9,27,2,175,0,0,0,,0.00
2022,9,27,3,180,0,0,0,,0.00
2022,9,27,3,185,0,0,0,,0.00
2022,9,27,3,190,0,0,0,,0.00
2022,9,27,3,195,0,0,0,,0.00
2022,9,27,3,200,0,0,0,,0.00
2022,9,27,3,205,0,0,0,,0.00
2022,9,27,3,210,0,0,0,,0.00
2022,9,27,3,215,0,0,0,,0.00
2022,9,27,3,220,0,0,0,,0.00
2022,9,27,3,225,0,0,0,,0.00
2022,9,27,3,230,0,0,0,,0.00
2022,9,27,3,235,0,0,0,,0.00
2022,9,27,4,240,0,0,0,,0.00
2022,9,27,4,245,0,0,0,,0.00
2022,9,27,4,250,0,0,0,,0.00
2022,9,27,4,255,0,0,0,,0.00
