min,Point Time,Value
0,2024-10-15T00:00:00+00:00,1402.0
5,2024-10-15T00:05:00+00:00,1439.0
10,2024-10-15T00:10:00+00:00,1439.0
15,2024-10-15T00:15:00+00:00,1443.0
20,2024-10-15T00:20:00+00:00,1443.0
25,2024-10-15T00:25:00+00:00,1443.0
30,2024-10-15T00:30:00+00:00,1444.0
35,2024-10-15T00:35:00+00:00,1408.0
40,2024-10-15T00:40:00+00:00,1419.0
45,2024-10-15T00:45:00+00:00,1415.0
50,2024-10-15T00:50:00+00:00,1415.0
55,2024-10-15T00:55:00+00:00,1417.0
60,2024-10-15T01:00:00+00:00,1416.0
65,2024-10-15T01:05:00+00:00,1416.0
70,2024-10-15T01:10:00+00:00,1425.0
75,2024-10-15T01:15:00+00:00,1428.0
80,2024-10-15T01:20:00+00:00,1402.0
85,2024-10-15T01:25:00+00:00,1397.0
90,2024-10-15T01:30:00+00:00,1391.0
95,2024-10-15T01:35:00+00:00,1389.0
100,2024-10-15T01:40:00+00:00,1388.0
105,2024-10-15T01:45:00+00:00,1388.0
110,2024-10-15T01:50:00+00:00,1387.0
115,2024-10-15T01:55:00+00:00,1391.0
120,2024-10-15T02:00:00+00:00,1390.0
125,2024-10-15T02:05:00+00:00,1392.0
130,2024-10-15T02:10:00+00:00,1397.0
135,2024-10-15T02:15:00+00:00,1405.0
140,2024-10-15T02:20:00+00:00,1427.0
145,2024-10-15T02:25:00+00:00,1440.0
150,2024-10-15T02:30:00+00:00,1428.0
155,2024-10-15T02:35:00+00:00,1429.0
160,2024-10-15T02:40:00+00:00,1429.0
165,2024-10-15T02:45:00+00:00,1428.0
170,2024-10-15T02:50:00+00:00,1437.0
175,2024-10-15T02:55:00+00:00,1437.0
180,2024-10-15T03:00:00+00:00,1429.0
185,2024-10-15T03:05:00+00:00,1434.0
190,2024-10-15T03:10:00+00:00,1420.0
195,2024-10-15T03:15:00+00:00,1420.0
200,2024-10-15T03:20:00+00:00,1422.0
205,2024-10-15T03:25:00+00:00,1425.0
210,2024-10-15T03:30:00+00:00,1430.0
215,2024-10-15T03:35:00+00:00,1437.0
220,2024-10-15T03:40:00+00:00,1437.0
225,2024-10-15T03:45:00+00:00,1435.0
230,2024-10-15T03:50:00+00:00,1426.0
235,2024-10-15T03:55:00+00:00,1424.0
240,2024-10-15T04:00:00+00:00,1430.0
245,2024-10-15T04:05:00+00:00,1377.0
250,2024-10-15T04:10:00+00:00,1382.0
255,2024-10-15T04:15:00+00:00,1383.0
260,2024-10-15T04:20:00+00:00,1385.0
265,2024-10-15T04:25:00+00:00,1415.0
270,2024-10-15T04:30:00+00:00,1415.0
275,2024-10-15T04:35:00+00:00,1398.0
280,2024-10-15T04:40:00+00:00,1398.0
285,2024-10-15T04:45:00+00:00,1398.0
290,2024-10-15T04:50:00+00:00,1404.0
295,2024-10-15T04:55:00+00:00,1396.0
300,2024-10-15T05:00:00+00:00,1366.0
305,2024-10-15T05:05:00+00:00,1396.0
310,2024-10-15T05:10:00+00:00,1396.0
315,2024-10-15T05:15:00+00:00,1394.0
320,2024-10-15T05:20:00+00:00,1389.0
325,2024-10-15T05:25:00+00:00,1400.0
330,2024-10-15T05:30:00+00:00,1401.0
335,2024-10-15T05:35:00+00:00,1399.0
340,2024-10-15T05:40:00+00:00,1400.0
345,2024-10-15T05:45:00+00:00,1399.0
350,2024-10-15T05:50:00+00:00,1402.0
355,2024-10-15T05:55:00+00:00,1405.0
360,2024-10-15T06:00:00+00:00,1402.0
365,2024-10-15T06:05:00+00:00,1402.0
370,2024-10-15T06:10:00+00:00,1398.0
375,2024-10-15T06:15:00+00:00,1398.0
380,2024-10-15T06:20:00+00:00,1398.0
385,2024-10-15T06:25:00+00:00,1397.0
390,2024-10-15T06:30:00+00:00,1402.0
395,2024-10-15T06:35:00+00:00,1408.0
400,2024-10-15T06:40:00+00:00,1402.0
405,2024-10-15T06:45:00+00:00,1397.0
410,2024-10-15T06:50:00+00:00,1395.0
415,2024-10-15T06:55:00+00:00,1393.0
420,2024-10-15T07:00:00+00:00,1398.0
425,2024-10-15T07:05:00+00:00,1395.0
430,2024-10-15T07:10:00+00:00,1395.0
435,2024-10-15T07:15:00+00:00,1397.0
440,2024-10-15T07:20:00+00:00,1395.0
445,2024-10-15T07:25:00+00:00,1396.0
450,2024-10-15T07:30:00+00:00,1396.0
455,2024-10-15T07:35:00+00:00,1399.0
460,2024-10-15T07:40:00+00:00,1402.0
465,2024-10-15T07:45:00+00:00,1401.0
470,2024-10-15T07:50:00+00:00,1401.0
475,2024-10-15T07:55:00+00:00,1396.0
480,2024-10-15T08:00:00+00:00,1398.0
485,2024-10-15T08:05:00+00:00,1391.0
490,2024-10-15T08:10:00+00:00,1388.0
495,2024-10-15T08:15:00+00:00,1389.0
500,2024-10-15T08:20:00+00:00,1389.0
505,2024-10-15T08:25:00+00:00,1389.0
510,2024-10-15T08:30:00+00:00,1388.0
515,2024-10-15T08:35:00+00:00,1390.0
520,2024-10-15T08:40:00+00:00,1390.0
525,2024-10-15T08:45:00+00:00,1390.0
530,2024-10-15T08:50:00+00:00,1391.0
535,2024-10-15T08:55:00+00:00,1392.0
540,2024-10-15T09:00:00+00:00,1386.0
545,2024-10-15T09:05:00+00:00,1384.0
550,2024-10-15T09:10:00+00:00,1383.0
555,2024-10-15T09:15:00+00:00,1384.0
560,2024-10-15T09:20:00+00:00,1388.0
565,2024-10-15T09:25:00+00:00,1385.0
570,2024-10-15T09:30:00+00:00,1384.0
575,2024-10-15T09:35:00+00:00,1383.0
580,2024-10-15T09:40:00+00:00,1356.0
