Point Time: 2024-03-27T15:15:00+00:00, Value: 970.5
Point Time: 2024-03-27T15:20:00+00:00, Value: 970.5
Point Time: 2024-03-27T15:25:00+00:00, Value: 929.6
Point Time: 2024-03-27T15:30:00+00:00, Value: 892.4
Point Time: 2024-03-27T15:35:00+00:00, Value: 855.5
Point Time: 2024-03-27T15:40:00+00:00, Value: 835.9
Point Time: 2024-03-27T15:45:00+00:00, Value: 799.3
Point Time: 2024-03-27T15:50:00+00:00, Value: 739.7
Point Time: 2024-03-27T15:55:00+00:00, Value: 714.7
Point Time: 2024-03-27T16:00:00+00:00, Value: 631.8
Point Time: 2024-03-27T16:05:00+00:00, Value: 635.7
Point Time: 2024-03-27T16:10:00+00:00, Value: 611.9
Point Time: 2024-03-27T16:15:00+00:00, Value: 567.9
Point Time: 2024-03-27T16:20:00+00:00, Value: 425.8
Point Time: 2024-03-27T16:25:00+00:00, Value: 509.9
Point Time: 2024-03-27T16:30:00+00:00, Value: 421.8
Point Time: 2024-03-27T16:35:00+00:00, Value: 413.9
Point Time: 2024-03-27T16:40:00+00:00, Value: 363.3
Point Time: 2024-03-27T16:45:00+00:00, Value: 297.3
Point Time: 2024-03-27T16:50:00+00:00, Value: 341.6
Point Time: 2024-03-27T16:55:00+00:00, Value: 319.5
Point Time: 2024-03-27T17:00:00+00:00, Value: 312.5
Point Time: 2024-03-27T17:05:00+00:00, Value: 307.0
Point Time: 2024-03-27T17:10:00+00:00, Value: 314.4
Point Time: 2024-03-27T17:15:00+00:00, Value: 256.3
Point Time: 2024-03-27T17:20:00+00:00, Value: 122.7
Point Time: 2024-03-27T17:25:00+00:00, Value: 125.7
Point Time: 2024-03-27T17:30:00+00:00, Value: 154.1
Point Time: 2024-03-27T17:35:00+00:00, Value: 156.0
Point Time: 2024-03-27T17:40:00+00:00, Value: 126.7
Point Time: 2024-03-27T17:45:00+00:00, Value: 125.7
Point Time: 2024-03-27T17:50:00+00:00, Value: 126.8
Point Time: 2024-03-27T17:55:00+00:00, Value: 127.3
Point Time: 2024-03-27T18:00:00+00:00, Value: 124.7
Point Time: 2024-03-27T18:05:00+00:00, Value: 124.4
Point Time: 2024-03-27T18:10:00+00:00, Value: 123.6
Point Time: 2024-03-27T18:15:00+00:00, Value: 123.4
Point Time: 2024-03-27T18:20:00+00:00, Value: 120.4
Point Time: 2024-03-27T18:25:00+00:00, Value: 120.3
Point Time: 2024-03-27T18:30:00+00:00, Value: 120.2
Point Time: 2024-03-27T18:35:00+00:00, Value: 120.0
Point Time: 2024-03-27T18:40:00+00:00, Value: 117.1
Point Time: 2024-03-27T18:45:00+00:00, Value: 116.9
Point Time: 2024-03-27T18:50:00+00:00, Value: 116.5
Point Time: 2024-03-27T18:55:00+00:00, Value: 114.7
Point Time: 2024-03-27T19:00:00+00:00, Value: 109.0
Point Time: 2024-03-27T19:05:00+00:00, Value: 109.3
Point Time: 2024-03-27T19:10:00+00:00, Value: 109.5
Point Time: 2024-03-27T19:15:00+00:00, Value: 109.8
Point Time: 2024-03-27T19:20:00+00:00, Value: 110.1
Point Time: 2024-03-27T19:25:00+00:00, Value: 110.3
Point Time: 2024-03-27T19:30:00+00:00, Value: 113.2
Point Time: 2024-03-27T19:35:00+00:00, Value: 113.5
Point Time: 2024-03-27T19:40:00+00:00, Value: 113.7
Point Time: 2024-03-27T19:45:00+00:00, Value: 113.9
Point Time: 2024-03-27T19:50:00+00:00, Value: 117.0
Point Time: 2024-03-27T19:55:00+00:00, Value: 117.1
Point Time: 2024-03-27T20:00:00+00:00, Value: 115.3
Point Time: 2024-03-27T20:05:00+00:00, Value: 112.6
Point Time: 2024-03-27T20:10:00+00:00, Value: 112.4
Point Time: 2024-03-27T20:15:00+00:00, Value: 112.3
